name,type,link
"Michael C. Hall","actor","https://en.wikipedia.org/wiki/Michael_C._Hall"
"Dexter Morgan","character","https://en.wikipedia.org/wiki/Dexter_Morgan"
"Julie Benz","actor","https://en.wikipedia.org/wiki/Julie_Benz"
"Rita Bennett","character","https://en.wikipedia.org/wiki/Rita_Bennett"
"Jennifer Carpenter","actor","https://en.wikipedia.org/wiki/Jennifer_Carpenter"
"Debra Morgan","character","https://en.wikipedia.org/wiki/Debra_Morgan"
"Erik King","actor","https://en.wikipedia.org/wiki/Erik_King"
"James Doakes","character","https://en.wikipedia.org/wiki/James_Doakes"
"Lauren Vélez","actor","https://en.wikipedia.org/wiki/Lauren_V%C3%A9lez"
"María LaGuerta","character","https://en.wikipedia.org/wiki/Mar%C3%ADa_LaGuerta"
"David Zayas","actor","https://en.wikipedia.org/wiki/David_Zayas"
"Angel Batista","character","https://en.wikipedia.org/wiki/Angel_Batista"
"James Remar","actor","https://en.wikipedia.org/wiki/James_Remar"
"Harry Morgan","character","https://en.wikipedia.org/wiki/Harry_Morgan_(Dexter)"
"C.S. Lee","actor","https://en.wikipedia.org/wiki/C.S._Lee"
"Vince Masuka","character","https://en.wikipedia.org/wiki/Vince_Masuka"
"Christina Robinson","actor","https://en.wikipedia.org/wiki/Christina_Robinson_(actress)"
"Astor Bennett","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Astor_Bennett"
"Daniel Goldman","actor","https://en.wikipedia.org/wiki/Daniel_Goldman"
"Cody Bennett","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Cody_Bennett"
"Devon Graye","character","https://en.wikipedia.org/wiki/Devon_Graye"
"Dominic Janes","character","https://en.wikipedia.org/wiki/Dominic_Janes"
"Maxwell Huckabee","actor","https://en.wikipedia.org/wiki/Maxwell_Huckabee"
"Dexter Morgan","character","https://en.wikipedia.org/wiki/Dexter_Morgan"
"Geoff Pierson","actor","https://en.wikipedia.org/wiki/Geoff_Pierson"
"Tom Matthews","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Tom_Matthews"
"Christian Camargo","actor","https://en.wikipedia.org/wiki/Christian_Camargo"
"Brian Moser","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Brian_Moser"
"Mark Pellegrino","actor","https://en.wikipedia.org/wiki/Mark_Pellegrino"
"Paul Bennett","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Paul_Bennett"
"Brad William Henke","actor","https://en.wikipedia.org/wiki/Brad_William_Henke"
"Tony Tucci","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Tony_Tucci"
"Angela Alvarado","actor","https://en.wikipedia.org/wiki/Angela_Alvarado"
"Nina Batista","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Nina_Batista"
"Sam Witwer","actor","https://en.wikipedia.org/wiki/Samuel_Witwer"
"Neil Perry","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Neil_Perry"
"Sage Kirkpatrick","actor","https://en.wikipedia.org/wiki/Sage_Kirkpatrick"
"Laura Moser","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Laura_Moser"
"Margo Martindale","actor","https://en.wikipedia.org/wiki/Margo_Martindale"
"Camilla Figg","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Camilla_Figg"
"Rudolf Martin","actor","https://en.wikipedia.org/wiki/Rudolf_Martin"
"Carlos Guerrero","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Carlos_Guerrero"
"Mark L. Young","actor","https://en.wikipedia.org/wiki/Mark_L._Young"
"Jeremy Downs","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Jeremy_Downs"
"Judith Scott","actor","https://en.wikipedia.org/wiki/Judith_Scott_(American_actress)"
"Esme Pascal","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Esme_Pascal"
"Valerie Castillo","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Jorge_and_Valerie_Castillo"
"Mike Donovan","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Mike_Donovan"
"Ethan Smith","actor","https://en.wikipedia.org/wiki/Ethan_Smith_(actor)"
"Jamie Jaworski","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Jamie_Jaworski"
"Denise Crosby","actor","https://en.wikipedia.org/wiki/Denise_Crosby"
"Nurse Mary","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Nurse_Mary"
"Gina Hecht","actor","https://en.wikipedia.org/wiki/Gina_Hecht"
"Mrs. Tucci","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Mrs._Tucci"
"José Zúñiga","actor","https://en.wikipedia.org/wiki/Jos%C3%A9_Z%C3%BA%C3%B1iga"
"Jorge Castillo","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Jorge_and_Valerie_Castillo"
"Vernee Watson-Johnson","actor","https://en.wikipedia.org/wiki/Vernee_Watson-Johnson"
"Tony Goldwyn","actor","https://en.wikipedia.org/wiki/Tony_Goldwyn"
"Emmett Meridian","character","https://en.wikipedia.org/wiki/List_of_Dexter_characters#Emmett_Meridian"
"Malcolm-Jamal Warner","actor","https://en.wikipedia.org/wiki/Malcolm-Jamal_Warner"
